Decision,Soil.Type,Soil.Colour,Geological.Features,Elevation,Natural.vegetation..tree..vigour,Natural.vegetation..tree..height,Drainage.Density
Low Potential,Clay,Dark,Limestone,Gentle,Low,Tall,Medium
Low Potential,Sand,Light,Limestone,Steep,Medium,Tall,Low
High Potential,Clay,Dark,Granite,Gentle,Low,Short,Medium
Low Potential,Sand,Dark,Limestone,Steep,Medium,Tall,Medium
High Potential,Loam,Light,Granite,Gentle,Medium,Medium,Low
High Potential,Clay,Dark,Granite,Steep,Low,Short,Low
High Potential,Clay,Light,Granite,Moderate,Low,Medium,Medium
Low Potential,Sand,Light,Limestone,Moderate,Medium,Tall,Medium
Low Potential,Sand,Light,Limestone,Steep,Low,Tall,Low
High Potential,Clay,Light,Granite,Gentle,Medium,Medium,Low
High Potential,Sand,Dark,Granite,Moderate,High,Short,Low
High Potential,Clay,Dark,Granite,Gentle,Low,Short,Medium
High Potential,Loam,Dark,Granite,Moderate,Medium,Short,Low
Low Potential,Clay,Light,Limestone,Moderate,Low,Tall,Medium
High Potential,Clay,Dark,Granite,Gentle,High,Short,Low
High Potential,Clay,Dark,Granite,Steep,Low,Short,Low
High Potential,Clay,Light,Granite,Gentle,Medium,Medium,Low
Low Potential,Loam,Light,Limestone,Steep,Low,Medium,Medium
Low Potential,Clay,Dark,Limestone,Moderate,Low,Medium,Medium
Low Potential,Loam,Dark,Limestone,Steep,Low,Tall,Medium
High Potential,Sand,Light,Limestone,Gentle,Low,Short,Medium
Low Potential,Clay,Dark,Limestone,Steep,Low,Tall,High
Low Potential,Sand,Dark,Limestone,Gentle,Low,Tall,Low
High Potential,Sand,Light,Granite,Gentle,High,Short,Medium
High Potential,Sand,Dark,Granite,Gentle,Low,Short,Low
Low Potential,Sand,Dark,Granite,Steep,High,Tall,High
Low Potential,Clay,Light,Limestone,Moderate,Low,Short,Medium
High Potential,Loam,Dark,Granite,Moderate,Medium,Short,Low
Low Potential,Loam,Light,Granite,Steep,Low,Tall,Low
High Potential,Clay,Dark,Granite,Gentle,Low,Short,Medium
High Potential,Loam,Light,Granite,moderate,Low,Medium,Low
Low Potential,Clay,Light,Limestone,Steep,Low,Medium,Medium
Low Potential,Clay,Light,Limestone,Moderate,Low,Short,Medium
High Potential,Clay,Light,Limestone,Moderate,High,Short,Low
High Potential,Loam,Dark,Limestone,Moderate,Low,Tall,High
Low Potential,Sand,Dark,Granite,Steep,High,Tall,High
High Potential,Clay,Dark,Granite,Gentle,Low,Short,Medium
High Potential,Clay,Dark,Granite,Gentle,High,Short,Medium
High Potential,Clay,Dark,Limestone,Steep,High,Short,Low
High Potential,Loam,Light,Granite,Steep,Low,Medium,Low
High Potential,Loam,Light,Granite,Gentle,High,Short,Medium
High Potential,Loam,Light,Granite,Steep,Low,Medium,Medium
High Potential,Clay,Light,Granite,Moderate,Medium,Medium,Low
High Potential,Clay,Dark,Granite,Gentle,Low,Short,Medium
High Potential,Clay,Dark,Granite,Gentle,High,Short,Medium
Low Potential,Loam,Dark,Limestone,Steep,Low,Medium,Medium
Low Potential,Sand,Dark,Limestone,Gentle,Low,Tall,Medium
High Potential,Sand,Dark,Limestone,Gentle,Low,Medium,Medium
Low Potential,Clay,Light,Limestone,Steep,Medium,Short,Medium
Low Potential,Clay,Dark,Limestone,Moderate,Low,Medium,Medium
Low Potential,Clay,Dark,Limestone,Steep,Low,Tall,Medium
Low Potential,Clay,Dark,Limestone,Moderate,Medium,Tall,Medium
High Potential,Loam,Light,Limestone,Moderate,Low,Medium,Low
High Potential,Clay,Dark,Granite,Gentle,High,Short,Medium
Low Potential,Sand,Dark,Limestone,Gentle,Low,Tall,Low
Low Potential,Sand,Dark,Limestone,Gentle,Low,Tall,Low
Low Potential,Clay,Light,Limestone,Moderate,Low,Short,Medium
High Potential,Loam,Dark,Granite,Gentle,Low,Medium,Medium
Low Potential,Loam,Dark,Limestone,Steep,Low,Tall,Medium
Low Potential,Loam,Dark,Granite,Steep,Low,Medium,Low
Low Potential,Sand,Dark,Limestone,Steep,Low,Tall,Medium
High Potential,Clay,Dark,Granite,Moderate,High,Short,Medium
Low Potential,Loam,Light,Limestone,Steep,Medium,Medium,Medium
Low Potential,Sand,Dark,Limestone,Steep,Medium,Medium,Medium
High Potential,Clay,Dark,Granite,Gentle,Low,Short,Medium
Low Potential,Clay,Dark,Granite,moderate,Low,Medium,High
High Potential,Clay,Light,Granite,Gentle,Low,Short,Low
High Potential,Clay,Light,Granite,Steep,High,Short,Low
High Potential,Loam,Dark,Limestone,Moderate,Low,Tall,High
Low Potential,Clay,Dark,Limestone,Gentle,Low,Tall,Medium
High Potential,Loam,Light,Granite,moderate,Low,Medium,Low
High Potential,Clay,Light,Granite,Gentle,Medium,Medium,Low
Low Potential,Sand,Dark,Limestone,Steep,High,Tall,Low
High Potential,Loam,Light,Granite,Gentle,Low,Medium,Low
Low Potential,Sand,Dark,Limestone,Steep,High,Tall,Low
High Potential,Clay,Light,Limestone,Gentle,Medium,Short,Low
Low Potential,Loam,Light,Limestone,Steep,Low,Medium,High
Low Potential,Loam,Light,Limestone,Steep,Low,Medium,Medium
Low Potential,Clay,Light,Limestone,Gentle,High,Tall,Medium
High Potential,Clay,Light,Limestone,Moderate,High,Short,Low
Low Potential,Clay,Light,Limestone,Steep,Medium,Medium,Medium
Low Potential,Clay,Dark,Limestone,Moderate,Low,Medium,Medium
High Potential,Clay,Dark,Granite,Gentle,Medium,Short,Medium
High Potential,Sand,Light,Granite,Gentle,High,Short,Medium
High Potential,Sand,Dark,Granite,Gentle,Low,Medium,Medium
Low Potential,Clay,Dark,Limestone,Steep,Low,Tall,High
Low Potential,Loam,Light,Limestone,Steep,Medium,Medium,Medium
High Potential,Clay,Dark,Granite,Gentle,Low,Short,Medium
High Potential,Sand,Dark,Granite,Moderate,Low,Medium,Low
High Potential,Clay,Dark,Granite,Moderate,Medium,Short,Low
High Potential,Loam,Light,Granite,Gentle,High,Short,Medium
High Potential,Clay,Dark,Granite,Gentle,High,Short,Medium
High Potential,Sand,Dark,Granite,Gentle,Low,Short,Low
High Potential,Clay,Dark,Granite,Moderate,High,Short,Low
High Potential,Loam,Dark,Limestone,Moderate,Medium,Tall,High
Low Potential,Clay,Light,Limestone,Steep,Low,Medium,Medium
High Potential,Clay,Dark,Granite,Steep,High,Short,Low
High Potential,Sand,Light,Granite,Moderate,Medium,Short,Medium
High Potential,Sand,Dark,Granite,Gentle,Medium,Short,Low
Low Potential,Loam,Dark,Granite,Steep,Medium,Medium,High
High Potential,Clay,Light,Granite,Steep,High,Short,Low
High Potential,Clay,Light,Granite,Gentle,Low,Medium,Low
High Potential,Sand,Dark,Granite,Gentle,Low,Short,Low
Low Potential,Clay,Dark,Limestone,Steep,Low,Tall,High
Low Potential,Sand,Light,Granite,Steep,Medium,Tall,Medium
High Potential,Loam,Light,Limestone,Moderate,Low,Medium,Low
High Potential,Clay,Dark,Granite,Steep,High,Short,Low
High Potential,Sand,Dark,Granite,Gentle,Low,Medium,Medium
High Potential,Clay,Light,Limestone,Moderate,High,Short,Low
Low Potential,Clay,Dark,Limestone,Steep,Low,Tall,High
High Potential,Sand,Light,Granite,Gentle,High,Short,Medium
Low Potential,Sand,Light,Granite,Steep,Medium,Tall,Medium
Low Potential,Sand,Dark,Limestone,Gentle,Medium,Tall,Low
High Potential,Clay,Dark,Granite,Gentle,Medium,Short,Medium
Low Potential,Clay,Light,Limestone,Steep,High,Tall,Medium
High Potential,Sand,Dark,Granite,Gentle,Low,Medium,Medium
Low Potential,Sand,Light,Limestone,Steep,Low,Tall,Low
High Potential,Clay,Dark,Granite,Steep,Low,Short,Low
High Potential,Sand,Dark,Limestone,Steep,High,Medium,Low
Low Potential,Clay,Light,Limestone,Moderate,Low,Short,Medium
Low Potential,Sand,Dark,Limestone,Gentle,Low,Tall,Low
Low Potential,Clay,Dark,Limestone,Steep,Low,Tall,High
Low Potential,Clay,Dark,Granite,moderate,Low,Medium,High
Low Potential,Clay,Dark,Limestone,Moderate,Medium,Tall,Medium
Low Potential,Loam,Dark,Limestone,Steep,Low,Tall,Medium
Low Potential,Sand,Dark,Limestone,Steep,Medium,Tall,Low
High Potential,Clay,Dark,Granite,Gentle,High,Short,Medium
Low Potential,Clay,Light,Limestone,Steep,Medium,Short,Medium
Low Potential,Clay,Dark,Limestone,Gentle,Low,Tall,Medium
Low Potential,Clay,Dark,Limestone,Moderate,Medium,Tall,Medium
High Potential,Sand,Light,Granite,Moderate,Low,Short,Medium
High Potential,Clay,Dark,Granite,Steep,Low,Short,Low
Low Potential,Clay,Light,Limestone,Steep,Medium,Short,Medium
Low Potential,Clay,Dark,Granite,Steep,Medium,Tall,Medium
High Potential,Clay,Dark,Granite,Steep,High,Short,Low
High Potential,Loam,Light,Granite,Gentle,Medium,Medium,Low
Low Potential,Loam,Light,Limestone,Steep,Low,Medium,Medium
High Potential,Clay,Light,Limestone,Moderate,High,Short,Low
Low Potential,Clay,Dark,Limestone,Steep,Low,Tall,Medium
Low Potential,Sand,Dark,Limestone,Gentle,Low,Tall,Low
Low Potential,Clay,Dark,Limestone,Steep,Low,Tall,High
Low Potential,Sand,Dark,Limestone,Steep,Medium,Tall,Medium
Low Potential,Sand,Dark,Limestone,Steep,Low,Medium,Medium
High Potential,Loam,Light,Limestone,Moderate,Medium,Medium,Low
High Potential,Loam,Light,Granite,Gentle,High,Tall,Medium
High Potential,Clay,Dark,Granite,Gentle,Low,Medium,Medium
Low Potential,Clay,Light,Limestone,Moderate,Low,Short,Medium
High Potential,Loam,Light,Granite,Gentle,Medium,Medium,Low
Low Potential,Loam,Dark,Granite,Steep,Low,Medium,Low
Low Potential,Sand,Light,Limestone,Moderate,Medium,Tall,Medium
High Potential,Clay,Light,Granite,Gentle,Medium,Short,Low
High Potential,Clay,Dark,Granite,Moderate,High,Short,Medium
High Potential,Sand,Dark,Limestone,Steep,Low,Short,High
High Potential,Sand,Dark,Limestone,Steep,High,Medium,Low
Low Potential,Loam,Light,Limestone,Steep,Low,Medium,High
High Potential,Clay,Light,Limestone,Gentle,Medium,Short,Low
High Potential,Clay,Light,Granite,Moderate,Low,Medium,Medium
Low Potential,Clay,Light,Limestone,Steep,High,Tall,Medium
High Potential,Clay,Dark,Granite,Moderate,High,Short,Medium
Low Potential,Sand,Light,Granite,Moderate,High,Short,Medium
Low Potential,Clay,Light,Limestone,Steep,Medium,Short,Medium
High Potential,Clay,Dark,Granite,Gentle,Low,Short,Medium
Low Potential,Clay,Light,Limestone,Steep,High,Tall,Medium
High Potential,Clay,Light,Granite,Gentle,Low,Short,Low
Low Potential,Loam,Dark,Granite,Steep,Low,Medium,Low
High Potential,Clay,Dark,Granite,Gentle,Medium,Short,Medium
High Potential,Sand,Dark,Granite,Moderate,High,Short,Low
High Potential,Loam,Dark,Limestone,Gentle,Low,Medium,Low
High Potential,Clay,Dark,Granite,Gentle,High,Short,Medium
High Potential,Sand,Dark,Granite,Moderate,High,Short,Low
Low Potential,Sand,Light,Granite,Steep,Medium,Tall,Medium
High Potential,Sand,Dark,Granite,Gentle,Low,Short,Low
Low Potential,Clay,Light,Limestone,Steep,Medium,Short,Medium
High Potential,Loam,Dark,Limestone,Moderate,Low,Tall,High
High Potential,Clay,Dark,Granite,Moderate,High,Short,Low
Low Potential,Clay,Dark,Limestone,Steep,Low,Tall,Medium
Low Potential,Clay,Light,Limestone,Gentle,Medium,Tall,Medium
High Potential,Sand,Dark,Granite,Gentle,Low,Short,Low
High Potential,Sand,Dark,Granite,Gentle,High,Short,High
Low Potential,Clay,Light,Limestone,Moderate,Low,Short,Medium
High Potential,Clay,Dark,Granite,Gentle,High,Short,Medium
High Potential,Sand,Dark,Limestone,Steep,High,Medium,Low
Low Potential,Loam,Dark,Limestone,Steep,Low,Tall,Medium
High Potential,Loam,Light,Granite,Gentle,Low,Medium,Low
Low Potential,Loam,Light,Limestone,Steep,Medium,Tall,Low
High Potential,Clay,Light,Granite,Moderate,Medium,Medium,Low
Low Potential,Loam,Light,Limestone,Steep,Medium,Tall,Low
Low Potential,Clay,Dark,Granite,Steep,Medium,Tall,Medium
High Potential,Sand,Dark,Granite,Moderate,High,Short,Low
Low Potential,Clay,Light,Limestone,Moderate,Low,Short,Medium
High Potential,Clay,Dark,Granite,Steep,Low,Short,Low
Low Potential,Clay,Light,Limestone,Steep,Low,Medium,Medium
High Potential,Sand,Dark,Granite,Gentle,Low,Short,Low
High Potential,Clay,Dark,Granite,Steep,High,Short,Low
High Potential,Sand,Dark,Granite,Gentle,Low,Medium,Medium
High Potential,Clay,Light,Granite,Gentle,Low,Short,Low
Low Potential,Loam,Dark,Granite,Steep,Low,Medium,Low
Low Potential,Clay,Dark,Limestone,Gentle,Low,Tall,Medium
Low Potential,Clay,Dark,Limestone,Steep,Low,Tall,High
High Potential,Sand,Dark,Granite,Moderate,High,Short,Low
Low Potential,Clay,Light,Limestone,Moderate,Medium,Tall,Medium
Low Potential,Loam,Light,Limestone,Steep,Medium,Medium,Medium
Low Potential,Sand,Dark,Limestone,Gentle,Low,Tall,Low
High Potential,Sand,Dark,Granite,Gentle,Low,Medium,Medium
Low Potential,Clay,Light,Limestone,Moderate,Low,Short,Medium
High Potential,Clay,Dark,Granite,Gentle,Medium,Medium,Medium
High Potential,Loam,Light,Limestone,Moderate,Low,Medium,Low
High Potential,Clay,Dark,Granite,Gentle,Medium,Short,Medium
Low Potential,Loam,Light,Limestone,Steep,Low,Medium,Medium
High Potential,Loam,Dark,Limestone,Moderate,Low,Tall,High
Low Potential,Clay,Light,Limestone,Steep,High,Tall,Medium
Low Potential,Clay,Dark,Limestone,Steep,Low,Tall,Medium
High Potential,Loam,Light,Granite,Gentle,High,Tall,Medium
High Potential,Sand,Dark,Granite,Gentle,Low,Medium,Medium
High Potential,Loam,Light,Granite,Gentle,Low,Medium,Low
High Potential,Sand,Dark,Limestone,Gentle,Low,Medium,Medium
Low Potential,Clay,Dark,Limestone,Gentle,Low,Tall,Medium
High Potential,Clay,Light,Granite,Moderate,Medium,Medium,Low
High Potential,Clay,Dark,Granite,Gentle,Low,Short,Medium
Low Potential,Loam,Dark,Granite,Steep,Low,Medium,Low
High Potential,Clay,Dark,Granite,Gentle,High,Short,Medium
High Potential,Clay,Dark,Granite,Steep,Low,Short,Low
Low Potential,Clay,Light,Limestone,Steep,High,Tall,Medium
High Potential,Clay,Dark,Granite,Moderate,High,Short,Medium
High Potential,Sand,Dark,Granite,Gentle,Low,Medium,Medium
High Potential,Clay,Light,Granite,Gentle,Medium,Short,Low
Low Potential,Loam,Dark,Granite,Steep,Medium,Short,Medium
Low Potential,Sand,Dark,Limestone,Steep,Low,Tall,Medium
High Potential,Clay,Dark,Granite,Moderate,Medium,Short,Low
High Potential,Sand,Light,Granite,Gentle,Low,Short,Low
Low Potential,Loam,Dark,Limestone,Steep,Low,Tall,Medium
High Potential,Clay,Light,Granite,Gentle,Low,Medium,Low
High Potential,Sand,Light,Granite,Gentle,High,Short,Medium
Low Potential,Clay,Dark,Limestone,Gentle,Low,Tall,Medium
Low Potential,Loam,Light,Limestone,Steep,Low,Medium,Medium
High Potential,Sand,Dark,Granite,Gentle,Medium,Short,Low
Low Potential,Loam,Light,Limestone,Steep,Medium,Medium,Medium
Low Potential,Loam,Dark,Granite,Steep,Medium,Medium,High
Low Potential,Clay,Dark,Limestone,Moderate,Medium,Tall,Medium
Low Potential,Loam,Light,Limestone,Steep,Medium,Medium,Medium
High Potential,Clay,Dark,Granite,Moderate,High,Short,Low
High Potential,Clay,Light,Granite,Steep,High,Short,Low
High Potential,Clay,Dark,Granite,Steep,Low,Short,Low
Low Potential,Loam,Dark,Granite,Steep,Medium,Medium,High
Low Potential,Sand,Dark,Granite,Steep,High,Tall,High
Low Potential,Clay,Dark,Granite,Steep,Medium,Tall,Medium
Low Potential,Sand,Light,Limestone,Steep,Medium,Tall,Low
High Potential,Clay,Dark,Granite,Gentle,Low,Short,Medium
High Potential,Clay,Dark,Granite,Steep,Low,Short,Low
Low Potential,Sand,Dark,Limestone,Steep,Medium,Tall,Medium
High Potential,Sand,Dark,Limestone,Steep,Low,Short,High
Low Potential,Clay,Dark,Limestone,Moderate,Medium,Tall,Medium
Low Potential,Clay,Light,Limestone,Moderate,Low,Short,Medium
Low Potential,Sand,Light,Limestone,Steep,Medium,Tall,Medium
High Potential,Clay,Light,Limestone,Moderate,High,Short,Low
High Potential,Clay,Dark,Granite,Gentle,High,Short,Medium
High Potential,Clay,Light,Granite,Steep,High,Short,Low
High Potential,Clay,Dark,Granite,Gentle,Low,Short,Low
High Potential,Sand,Light,Granite,Gentle,High,Short,Low
High Potential,Clay,Light,Granite,Gentle,Low,Short,Low
Low Potential,Sand,Dark,Limestone,Steep,Medium,Tall,Medium
High Potential,Loam,Light,Granite,Gentle,Medium,Medium,Low
High Potential,Sand,Light,Limestone,Gentle,Low,Short,Medium
High Potential,Clay,Dark,Granite,Gentle,Medium,Short,Medium
Low Potential,Sand,Light,Limestone,Moderate,Low,Tall,Medium
High Potential,Clay,Light,Granite,Gentle,Medium,Short,Low
High Potential,Sand,Dark,Limestone,Gentle,Low,Medium,Medium
Low Potential,Clay,Light,Limestone,Moderate,Low,Short,Medium
Low Potential,Sand,Light,Limestone,Steep,Medium,Tall,Low
High Potential,Sand,Dark,Limestone,Steep,Low,Short,High
Low Potential,Sand,Dark,Limestone,Steep,Low,Tall,Medium
Low Potential,Loam,Light,Granite,Steep,Low,Tall,Low
High Potential,Clay,Dark,Granite,Steep,High,Short,Low
High Potential,Sand,Dark,Limestone,Steep,High,Medium,Low
Low Potential,Sand,Light,Limestone,Steep,Low,Tall,Low
Low Potential,Clay,Dark,Limestone,Moderate,Medium,Tall,Medium
Low Potential,Loam,Dark,Limestone,Steep,Low,Medium,Medium
Low Potential,Clay,Dark,Limestone,Moderate,Medium,Tall,Medium
Low Potential,Clay,Dark,Limestone,Moderate,Low,Tall,Medium
High Potential,Sand,Dark,Granite,Gentle,High,Short,High
High Potential,Clay,Light,Granite,Gentle,Medium,Medium,Low
Low Potential,Sand,Dark,Limestone,Steep,Low,Medium,Medium
Low Potential,Loam,Dark,Granite,Steep,Medium,Short,Medium
High Potential,Clay,Light,Granite,Gentle,Medium,Short,Low
High Potential,Loam,Dark,Granite,Moderate,Medium,Short,Low
Low Potential,Loam,Light,Limestone,Steep,Medium,Tall,Low
Low Potential,Clay,Dark,Limestone,Moderate,Low,Medium,Medium
Low Potential,Clay,Light,Limestone,Gentle,Low,Tall,Medium
High Potential,Clay,Light,Granite,Gentle,Medium,Short,Low
High Potential,Clay,Dark,Granite,Gentle,Low,Short,Medium
High Potential,Clay,Light,Limestone,Moderate,High,Short,Low
High Potential,Clay,Light,Limestone,Moderate,High,Short,Low
High Potential,Loam,Light,Limestone,Moderate,Medium,Medium,Low
Low Potential,Loam,Dark,Limestone,Steep,Low,Tall,Medium
High Potential,Clay,Dark,Granite,Gentle,Low,Short,Medium
Low Potential,Clay,Light,Limestone,Steep,Low,Medium,Medium
High Potential,Sand,Light,Granite,Gentle,High,Short,Medium
Low Potential,Clay,Light,Limestone,Gentle,Medium,Tall,Medium
High Potential,Sand,Light,Limestone,Gentle,Low,Short,Medium
High Potential,Sand,Dark,Granite,Gentle,Low,Short,Low
Low Potential,Sand,Dark,Limestone,Steep,Medium,Tall,Low
High Potential,Loam,Dark,Limestone,Moderate,Medium,Tall,High
